Id	Label	Color
149	Coastal Carolina	1
150	The Citadel	1
151	Liberty	1
152	North Carolina	12
153	Morgan St.	3
154	E. Michigan	12
155	Holy Cross	7
156	Albany	8
157	Central Conn. St.	8
158	Towson	8
159	Ohio	12
160	Kent St.	12
161	Morehead St.	2
162	Richmond	8
163	Norfolk St.	3
164	Maine	8
165	Marist	2
166	Sacred Heart	8
167	St. Francis	8
168	Fordham	7
169	Samford	1
170	TCU	9
171	Southern	4
172	UL Lafayette	10
173	Austin Peay	5
174	Memphis	12
175	Stetson	2
176	Warner	1
177	Louisiana Tech	10
178	Oklahoma	9
179	Montana St.	6
180	Arkansas St.	10
181	Sacramento St.	6
182	Incarnate Word	13
183	Bethune-Cook.	3
184	FIU	10
185	W. Carolina	1
186	South Florida	12
187	N. Arizona	6
188	San Diego St.	11
189	Edward Waters	5
190	Tennessee St.	5
191	Ark.-Pine Bluff	4
192	Texas State	10
193	Savannah St.	3
194	M. Tenn. St.	10
195	Florida A&M	3
196	Jackson St.	4
197	Gardner-Webb	1
198	Furman	1
199	Grand View U.	2
200	Drake	2
201	College of Faith	2
202	Davidson	2
203	Cent. Arkansas	13
204	Texas Tech	9
205	New Hampshire	8
206	Toledo	12
207	S.F. Austin	13
208	Kansas St.	9
209	Fresno St.	11
210	USC	11
211	Southern Miss	10
212	Mississippi St.	10
213	Alabama St.	4
214	UTEP	9
215	New Mexico	11
216	North Texas	9
217	Texas	9
218	Grambling	4
219	Lamar	13
220	Florida St.	12
221	Oklahoma St.	9
222	Jacksonville	2
223	SE Louisiana	13
224	NC Central	3
225	East Carolina	12
226	LSU	10
227	Wisconsin	12
228	Montana-Western	6
229	South Dakota	6
230	Oregon	11
231	Washington	11
232	Hawaii	11
233	Alabama A&M	4
234	NC A&T	3
235	Prairie View A&M	4
236	Texas Southern	4
237	Utah St.	11
238	Tennessee	10
239	SMU	9
240	Baylor	9
241	Miami (Fla.)	12
242	Louisville	12
243	Texas College	13
244	Johnson C. Smith	1
245	Army	12
246	McNeese St.	13
247	Lehigh	7
248	Clarion	8
249	Merrimack	8
250	Dayton	2
251	Tuskegee	4
252	South Alabama	10
253	William Penn	6
254	Brevard College	1
255	Florida	10
256	Elizabeth City State	3
257	Central Washington	6
258	Newberry	1
259	Pikeville College	2
260	Lafayette	7
261	Concordia	4
262	Butler	2
263	Wittenberg	2
264	Bluefield State	1
265	Florida Tech	2
266	Central Methodist	4
267	Truman State	2
268	Catawba	1
269	Idaho	10
270	Rhode Island	8
271	Kansas	9
272	Illinois St.	6
273	St. Joseph's (IN)	2
274	McMurry University	13
275	Houston Baptist	13
276	Fort Lewis	6
277	Western New Mexico	2
278	San Diego	2
279	Black Hills State	6
280	N. Colorado	6
281	Western Oregon	6
282	Stillman College	4
283	Cumberland (TN)	5
284	Cincinnati	12
285	Bowie State	3
286	Louisiana College	4
287	Morehouse	3
288	Central State (Ohio)	4
289	Chadron State	6
290	Fort Valley State	3
291	American International	8
292	Assumption	8
293	New Mexico Highlands	6
294	Henderson State	13
295	Texas A&M-Commerce	13
296	N. Greenville	1
297	CSU-Pueblo	13
298	Harvard	7
299	Menlo	6
300	Yale	7
301	Brown	7
302	Columbia	7
303	Cornell	7
304	Penn	7
305	Birmingham-Southern	2
306	William Jewell	2
307	West Alabama	5
308	Princeton	7
309	Ave Maria	1
310	Miles	3
311	Chowan	3
312	Dartmouth	7
313	Wisconsin-Oshkosh	6
314	Mississippi College	13
315	Virginia-Wise	1
316	Arkansas Tech	13
317	West Liberty State	8
318	Alderson Broaddus	8
319	Limestone College	2
320	Kentucky Wesleyan	5
321	Wesley	1
